Device: cuda
Configuration: {'dataset': 'wco_l4_ifcb_pml', 'dino_model': 'vit_base_patch16_dinov3', 'projection_dim': 128, 'image_size': 224, 'num_clients': 2000, 'client_frac': 0.05, 'rounds': 20, 'local_epochs': 5, 'batch_size': 128, 'lr': 0.0001, 'wd': 0.0001, 'grad_clip': 1.0, 'linear_lr': 0.001, 'linear_wd': 0.0001, 'linear_bs': 256, 'linear_epochs': 50, 'linear_patience': 10, 'dirichlet_alpha': 0.3, 'balanced_partition': False, 'normalization': 'imagenet', 'seed': 17, 'backbone_tag': 'dino_b16', 'run_name': 'dino_b16_2000C_5pct_seed17', 'verbose': False, 'progress_every': 20, 'eval_every': 0, 'save_test_embeddings': False, 'cpu': False, 'eval_datasets': ['wco_l4_ifcb_pml', 'syke_ifcb', 'syke_zooscan', 'plankto_share', 'daplankton_lab_ifcb', 'daplankton_lab_cs', 'daplankton_lab_fc'], 'tiny_root': './tiny', 'celeba_root': './celeba', 'device': device(type='cuda')}
Loading DINOv3 backbone (vit_base_patch16_dinov3)...
DINOv3 image feature dim: 768
Using Dirichlet alpha=0.3 for non-IID partition...
Using imbalanced Dirichlet partition
Starting federated unsupervised SimCLR (CLIP backbone)...

--- Round 1/20 ---
Client 434: 3.5726
Client 1571: 4.0149
Client 1026: 3.3397
Client 220: 3.7163
Client 89: 3.1519
Client 761: 3.2794
Client 762: 3.4041
Client 980: 3.7446
Client 914: 3.1633
Client 674: 3.8994
Client 1644: 3.4971
Client 1553: 3.8219
Client 1009: 3.0286
Client 751: 3.7191
Client 449: 3.7988
Client 16: 3.0034
Client 1230: 3.4277
Client 1654: 3.6407
Client 1629: 3.4209
Client 232: 3.5572
Client 713: 3.9435
Client 1062: 3.3444
Client 1613: 3.1088
Client 304: 3.1583
Client 1743: 3.8673
Client 782: 3.4121
Client 235: 4.1561
Client 1251: 3.6378
Client 1142: 3.3865
Client 1963: 3.9120
Client 162: 3.3384
Client 83: 3.6503
Client 1461: 3.8088
Client 802: 3.5326
Client 1922: 3.2955
Client 224: 3.9646
Client 1385: 4.0462
Client 1521: 3.5005
Client 944: 3.1607
Client 294: 3.1918
Client 1329: 3.6284
Client 403: 3.3930
Client 1121: 3.6968
Client 1656: 3.4456
Client 906: 3.2877
Round avg loss: 3.5490 (Best: 3.5490)

--- Round 8/20 ---
Client 96: 4.2267
Client 1389: 3.4300
Client 1813: 3.8504
Client 1723: 3.7571
Client 549: 3.8294
Client 37: 3.1297
Client 1214: 4.0092
Client 217: 3.4317
Client 1583: 3.8700
Client 196: 3.5669
Client 287: 3.5516
Client 974: 3.4178
Client 451: 4.0325
Client 632: 4.1238
Client 1617: 3.5410
Client 1319: 4.1414
Client 615: 3.3023
Client 620: 3.4895
Client 1240: 3.8143
Client 677: 3.7340
Client 1131: 3.3679
Client 34: 3.5881
Client 895: 3.9531
Client 181: 3.2201
Client 786: 2.8852
Client 6: 3.9583
Client 1299: 3.5556
Client 944: 2.9269
Client 212: 3.3036
Client 1794: 3.3766
Client 668: 3.8570
Client 1099: 3.5343
Client 1542: 3.5283
Client 662: 3.8205
Client 1507: 3.8944
Client 940: 3.3361
Client 1897: 4.0535
Client 1568: 2.6546
Client 117: 3.6888
Client 1782: 3.4669
Client 997: 3.4513
Client 190: 3.0708
Client 1094: 2.6430
Client 1323: 3.1155
Client 958: 3.4863
Client 608: 3.2193
Client 1244: 3.2139
Client 1902: 3.3978
Client 251: 2.8165
Client 1484: 3.2417
Client 1775: 3.6046
Client 1208: 3.6002
Client 1701: 3.4628
Client 1364: 3.6516
Client 315: 3.6464
Client 1560: 3.7337
Client 1960: 3.1785
Client 145: 3.9886
Client 1387: 3.4535
Client 659: 4.2356
Client 1392: 3.4457
Client 79: 3.8375
Client 1746: 3.7538
Client 1724: 3.1767
Client 1899: 3.7783
Client 1951: 3.3263
Client 1171: 3.2040
Client 410: 3.4010
Client 1790: 3.4449
Client 604: 3.2165
Client 1532: 2.8203
Client 858: 3.6100
Client 1626: 3.7210
Client 174: 3.5909
Client 221: 3.2392
Client 1668: 3.7060
Client 1567: 3.5868
Client 780: 3.5848
Client 1639: 3.2672
Client 115: 3.9692
Client 1002: 3.4293
Client 1053: 3.3829
Client 839: 2.7282
Client 847: 3.5372
Client 1634: 3.3691
Client 1562: 3.1449
Client 1382: 3.0439
Client 539: 3.2057
Client 1181: 3.6002
Client 488: 3.5453
Client 1152: 3.7082
Client 1027: 3.2272
Client 1504: 3.6804
Client 829: 3.4304
Client 1233: 3.3859
Client 264: 3.4269
Client 1580: 3.4848
Client 1506: 3.5008
Client 454: 3.6107
Client 1773: 4.0305
Round avg loss: 3.5058 (Best: 3.5058)

--- Round 9/20 ---
Client 678: 3.3346
Client 1702: 3.6103
Client 474: 3.8532
Client 1347: 3.3667
Client 650: 3.6103
Client 964: 3.7589
Client 644: 3.9165
Client 1618: 3.3929
Client 1919: 2.7972
Client 432: 3.7236
Client 1270: 3.6132
Client 202: 3.8944
Client 1709: 3.3290
Client 419: 3.7221
Client 1540: 3.2647
Client 1086: 3.4954
Client 958: 3.2247
Client 426: 3.4990
Client 900: 3.6727
Client 892: 2.9497
Client 748: 3.6200
Client 1664: 3.1580
Client 894: 3.5855
Client 1264: 3.4137
Client 107: 3.8078
Client 407: 3.8797
Client 1967: 2.7592
Client 249: 3.6057
Client 510: 3.9376
Client 11: 4.0884
Client 530: 3.5040
Client 104: 3.1146
Client 1820: 3.5313
Client 535: 3.6735
Client 1778: 3.8273
Client 1458: 3.3265
Client 740: 3.7242
